sn,phase,peak
1188,1001,-212
1189,1019,254
1190,1032,251
1191,1050,218
1192,1074,-299
1193,1087,-251
1194,1105,333
1195,1119,-219
1196,1137,250
1197,1154,229
1198,1168,233
1199,1184,232
1200,1197,311
1201,1215,223
1202,1228,-202
1203,1246,207
1204,1262,208
1205,1277,233
1206,1296,-215
1207,1313,-238
1208,1344,202
1209,1372,202
1210,1389,229
1211,1413,-325
1212,1437,-512
1213,1457,245
1214,1478,-512
1215,1497,-512
1216,1532,-512
1217,1564,494
1218,1594,-249
1219,1637,457
1220,1669,476
1221,1759,286
1222,1840,310
1223,1873,353
1224,1904,263
1225,60,205
1226,115,220
1227,145,-205
1228,162,204
1229,181,-221
1230,199,218
1231,217,218
1232,236,-232
1233,256,231
1234,278,206
1235,290,236
1236,314,239
1237,335,266
1238,348,218
1239,365,-271
1240,382,-232
1241,401,322
1242,418,-448
1243,437,271
1244,455,-316
1245,472,270
1246,489,410
1247,507,419
1248,524,-372
1249,541,237
1250,562,344
1251,575,-227
1252,592,-265
1253,609,340
1254,627,290
1255,646,-277
1256,662,249
1257,681,-287
1258,697,241
1259,715,-512
1260,739,-512
1261,764,-239
1262,786,-318
1263,814,-512
1264,846,-512
1265,877,-294
1266,898,-512
1267,925,-512
1268,945,-322
1269,962,-237
1270,979,380
1271,996,-253
1272,1017,210
1273,1035,231
1274,1055,253
1275,1073,-233
1276,1091,227
1277,1108,233
1278,1125,-201
1279,1144,210
1280,1165,235
1281,1185,255
1282,1197,383
1283,1220,215
1284,1242,228
1285,1256,204
1286,1273,-262
1287,1290,-221
1288,1308,-213
1289,1326,220
1290,1345,-260
1291,1362,-254
1292,1379,211
1293,1396,-289
1294,1419,-419
1295,1435,-512
1296,1452,-512
1297,1468,-512
1298,1483,-512
1299,1501,298
1300,1514,-337
1301,1529,-307
1302,1545,-276
1303,1560,-423
1304,1574,-287
1305,1590,-512
1306,1605,-512
1307,1620,297
1308,1637,236
1309,1651,-283
1310,1665,-251
1311,1680,-512
1312,1699,-512
1313,1715,243
1314,1732,347
1315,1752,-512
1316,1768,-512
1317,1784,-340
1318,1800,-512
1319,1817,-512
1320,1836,-512
1321,1850,-296
1322,1867,-512
1323,1881,391
1324,1895,284
1325,1911,-298
1326,1926,-368
1327,1942,-512
1328,4,-284
1329,20,-286
1330,36,219
1331,54,-223
1332,72,235
1333,93,209
1334,109,-234
1335,124,-207
1336,141,298
1337,161,234
1338,178,235
1339,198,-208
1340,215,212
1341,231,-301
1342,248,205
1343,267,-214
1344,282,243
1345,297,222
1346,312,257
1347,329,244
1348,345,238
1349,364,248
1350,378,227
1351,395,-251
1352,410,272
1353,437,-261
1354,465,-379
1355,482,-206
1356,502,238
1357,520,306
1358,543,363
1359,565,350
1360,585,209
1361,606,-431
1362,643,-335
1363,660,-449
1364,679,-254
1365,701,-272
1366,732,-512
1367,764,317
1368,849,-512
1369,933,-304
1370,987,203
1371,1056,-221
1372,1095,-254
1373,1140,223
1374,1173,-298
1375,1225,290
1376,1278,-222
1377,1310,214
1378,1419,471
1379,1483,-224
1380,1507,423
1381,1530,233
1382,1544,-269
1383,1561,-512
1384,1585,289
1385,1608,305
1386,1622,-512
1387,1648,-512
1388,1673,-512
1389,1701,-512
1390,1721,-317
1391,1739,-512
1392,1764,244
1393,1785,352
1394,1799,264
1395,1817,-512
1396,1847,-512
1397,1865,418
1398,1878,-512
1399,1897,399
1400,1911,-294
1401,1927,-212
1402,1942,-512
1403,5,244
1404,22,-203
1405,38,304
1406,52,205
1407,69,-255
1408,90,231
1409,105,-298
1410,121,213
1411,138,-253
1412,152,-212
1413,167,203
1414,181,-259
1415,202,231
1416,212,234
1417,228,-223
1418,246,221
1419,261,219
1420,278,247
1421,291,239
1422,306,213
1423,322,214
1424,340,201
1425,357,221
1426,377,233
1427,395,-299
1428,407,-209
1429,424,288
1430,439,-319
1431,455,292
1432,470,246
1433,485,-291
1434,500,-322
1435,515,-426
1436,531,316
1437,546,379
1438,560,-372
1439,575,-276
1440,592,-392
1441,607,-384
1442,623,-271
1443,638,-342
1444,653,-232
1445,668,278
1446,684,256
1447,700,-233
1448,714,501
1449,730,-512
1450,745,-512
1451,761,-512
1452,776,234
1453,795,363
1454,811,284
1455,828,-512
1456,849,-512
1457,864,-288
1458,878,304
1459,894,-512
1460,912,-364
1461,925,339
1462,940,-259
1463,955,272
1464,971,-251
1465,986,266
1466,1001,261
1467,1019,220
1468,1036,-249
1469,1058,227
1470,1076,-221
1471,1093,221
1472,1112,226
1473,1133,213
1474,1146,261
1475,1171,333
1476,1187,277
1477,1207,-217
1478,1226,277
1479,1243,303
1480,1260,211
1481,1279,213
1482,1296,-213
1483,1314,347
1484,1337,232
1485,1357,210
1486,1374,-378
1487,1391,-264
1488,1413,377
1489,1428,-512
1490,1461,281
1491,1486,273
1492,1509,261
1493,1568,-512
1494,1610,347
1495,1637,-289
1496,1677,-512
1497,1702,-512
1498,1728,-512
1499,1768,325
1500,1837,-353
1501,1943,-512
1502,106,226
1503,158,224
1504,198,220
1505,227,209
1506,263,235
1507,302,-223
1508,372,211
1509,462,287
1510,483,-356
1511,519,-228
1512,549,-450
1513,572,-255
1514,589,304
1515,607,286
1516,627,322
1517,645,380
1518,662,209
1519,680,311
1520,697,322
1521,714,-294
1522,731,-512
1523,756,319
1524,773,-512
1525,799,279
1526,816,320
1527,832,-442
1528,850,321
1529,863,-512
1530,879,-512
1531,895,-512
1532,910,-512
1533,927,-330
1534,942,238
1535,959,-512
1536,973,224
1537,992,-212
1538,1005,205
1539,1021,-219
1540,1037,224
1541,1052,231
1542,1077,-208
1543,1091,-205
1544,1106,-209
1545,1122,265
1546,1166,312
1547,1201,265
1548,1220,263
1549,1247,243
1550,1274,319
1551,1291,232
1552,1309,230
1553,1324,203
1554,1347,-231
1555,1362,224
1556,1377,-369
1557,1394,-262
1558,1408,-289
1559,1425,268
1560,1442,-512
1561,1457,263
1562,1471,-241
1563,1488,-512
1564,1503,-512
1565,1519,-310
1566,1536,210
1567,1550,-281
1568,1565,-253
1569,1580,-512
1570,1597,229
1571,1612,-512
1572,1629,-325
1573,1644,-512
1574,1659,-512
1575,1676,-231
1576,1691,-512
1577,1707,-512
1578,1722,-313
1579,1737,-512
1580,1752,375
1581,1767,-512
1582,1782,361
1583,1798,-336
1584,1817,-316
1585,1829,-313
1586,1844,-512
1587,1860,305
1588,1878,-512
1589,1894,-512
1590,1915,-265
1591,1931,-350
1592,1948,-512
1593,10,279
1594,27,-251
1595,41,223
1596,56,-212
1597,73,249
1598,93,218
1599,109,219
1600,124,220
1601,143,222
1602,156,-233
1603,172,-239
1604,188,295
1605,205,205
1606,219,233
1607,238,-241
1608,254,223
1609,271,257
1610,286,242
1611,301,-214
1612,320,218
1613,334,-217
1614,349,220
1615,368,201
1616,382,-256
1617,397,-253
1618,412,326
1619,428,-260
1620,444,485
1621,460,268
1622,474,412
1623,490,288
1624,505,282
1625,521,269
1626,535,317
1627,553,-249
1628,569,240
1629,593,-274
1630,611,252
1631,630,-237
1632,658,264
1633,676,-238
1634,695,257
1635,711,260
1636,735,-201
1637,802,283
1638,839,-512
1639,864,-512
1640,881,-512
1641,902,422
1642,925,-512
1643,962,-512
1644,1002,233
1645,1098,293
1646,1169,-204
1647,1198,247
1648,1259,-210
1649,1299,-232
1650,1336,-212
1651,1369,-279
1652,1417,321
1653,1470,-512
1654,1514,317
1655,1630,-512
1656,1679,225
1657,1712,450
1658,1739,300
1659,1762,-512
1660,1786,-223
1661,1809,318
1662,1827,-352
1663,1844,284
1664,1861,-512
1665,1885,-512
1666,1908,314
1667,1925,226
1668,1939,-283
1669,3,-266
1670,17,216
1671,38,209
1672,52,209
1673,68,-223
1674,89,208
1675,102,-231
1676,117,-251
1677,135,258
1678,149,-212
1679,164,-253
1680,180,225
1681,200,249
1682,213,-204
1683,229,-258
1684,243,-257
1685,261,231
1686,276,-271
1687,290,210
1688,305,221
1689,321,203
1690,337,214
1691,379,228
1692,413,313
1693,439,-210
1694,462,-369
1695,478,-241
1696,493,263
1697,510,-341
1698,524,-306
1699,538,357
1700,553,-341
1701,568,-258
1702,583,-512
1703,599,-264
1704,615,415
1705,632,-319
1706,648,-205
1707,663,-282
1708,678,295
1709,693,-290
1710,707,-512
1711,725,-299
1712,739,-512
1713,756,-512
1714,771,405
1715,786,-512
1716,802,325
1717,822,-279
1718,835,-512
1719,852,-512
1720,868,360
1721,884,-312
1722,900,332
1723,916,-512
1724,938,241
1725,954,-346
1726,972,415
1727,986,-239
1728,1001,-204
1729,1029,226
1730,1070,295
1731,1097,-258
1732,1121,235
1733,1143,242
1734,1166,-207
1735,1186,-216
1736,1204,212
1737,1223,232
1738,1236,201
1739,1253,-221
1740,1269,259
1741,1285,-226
1742,1300,261
1743,1317,212
1744,1337,-204
1745,1350,239
1746,1368,-213
1747,1381,-243
1748,1396,205
1749,1415,247
1750,1430,-512
1751,1447,-512
1752,1461,492
1753,1478,-214
1754,1496,457
1755,1521,-512
1756,1538,-272
1757,1561,-512
1758,1581,-512
1759,1603,258
1760,1619,284
1761,1638,-512
1762,1661,321
1763,1682,-512
1764,1702,347
1765,1730,-512
1766,1760,-379
1767,1782,-512
1768,1824,-512
1769,1865,221
1770,42,212
1771,121,-214
1772,156,-203
1773,200,-235
1774,234,231
1775,290,239
1776,320,205
1777,368,224
1778,403,-237
1779,436,-215
1780,474,230
1781,518,236
1782,637,256
1783,667,333
1784,702,-512
1785,749,405
1786,763,-512
1787,788,-512
1788,812,365
1789,834,-249
1790,847,-252
1791,865,-512
1792,889,-512
1793,917,298
1794,930,-325
1795,948,-512
1796,974,246
1797,988,220
1798,1003,210
1799,1022,-251
1800,1035,210
1801,1050,-244
1802,1069,219
1803,1090,207
1804,1105,203
1805,1123,201
1806,1138,254
1807,1153,-217
1808,1169,211
1809,1184,211
1810,1198,210
1811,1218,255
1812,1234,502
1813,1249,-213
1814,1265,322
1815,1279,-216
1816,1295,253
1817,1311,248
1818,1326,221
1819,1346,204
1820,1357,237
1821,1372,232
1822,1387,274
1823,1403,-217
1824,1418,250
1825,1433,-455
1826,1448,-512
1827,1464,280
1828,1485,-512
1829,1502,283
1830,1520,-389
1831,1582,-512
1832,1617,-512
1833,1645,285
1834,1661,-512
1835,1678,-436
1836,1691,204
1837,1707,-226
1838,1722,-222
1839,1737,257
1840,1752,354
1841,1768,-512
1842,1785,-512
1843,1802,290
1844,1818,-262
1845,1834,421
1846,1848,-512
1847,1864,-285
1848,1880,-512
1849,1898,207
1850,1914,263
1851,1938,-512
1852,0,296
1853,16,-205
1854,32,-298
1855,52,243
1856,70,-224
1857,89,201
1858,104,-208
1859,121,-213
1860,136,205
1861,154,216
1862,170,-256
1863,185,205
1864,201,-262
1865,220,201
1866,235,229
